AU,Name,Cluster
4053,h4053-vm02.vcaantech.com,H4053 vSAN Cluster
4053,h4053-vm03.vcaantech.com,H4053 vSAN Cluster
80100,h80100-vm01.vcaantech.com,h80100 Cluster
80100,h80100-vm02.vcaantech.com,h80100 Cluster
80108,h80108-vm01.vcaantech.com,H80108 vSAN Cluster
80108,h80108-vm02.vcaantech.com,H80108 vSAN Cluster
80108,h80108-vm03.vcaantech.com,H80108 vSAN Cluster
80108,h80108-vm04.vcaantech.com,H80108 vSAN Cluster
80108,h80108-vm05.vcaantech.com,H80108 vSAN Cluster
80120,h80120-vm01.vcaantech.com,H80120 vSAN Cluster
80120,h80120-vm02.vcaantech.com,H80120 vSAN Cluster
80120,h80120-vm03.vcaantech.com,H80120 vSAN Cluster
80124,h80124-vm01.vcaantech.com,H80124 vSAN Cluster
80124,h80124-vm02.vcaantech.com,H80124 vSAN Cluster
80124,h80124-vm03.vcaantech.com,H80124 vSAN Cluster
80304,h80304-vm01.vcaantech.com,h80304 vSAN Cluster
80304,h80304-vm02.vcaantech.com,h80304 vSAN Cluster
80304,h80304-vm03.vcaantech.com,h80304 vSAN Cluster
80319,h80319-vm01.vcaantech.com,h80319 vSAN Cluster
80319,h80319-vm02.vcaantech.com,h80319 vSAN Cluster
80319,h80319-vm03.vcaantech.com,h80319 vSAN Cluster
80320,h80320-vm01.vcaantech.com,h80320 cluster
80320,h80320-vm02.vcaantech.com,h80320 cluster
80512,h80512-vm01.vcaantech.com,h80512 cluster
80512,h80512-vm02.vcaantech.com,h80512 cluster
80512,h80512-vm03.vcaantech.com,h80512 cluster
